Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
27,John Battle,31,CLE,51,1,814,130,273,.476,5,19,.263,73,97,.753,7,32,39,83,22,1,41,66,338
28,Benoit Benjamin,29,NJN,77,74,1817,283,589,.480,0,0,,152,214,.710,135,364,499,44,35,90,97,198,718
29,Tony Bennett,24,CHH,74,5,983,105,263,.399,27,75,.360,11,15,.733,16,74,90,163,39,1,40,84,248
30,David Benoit,25,UTA,55,18,1070,139,361,.385,12,59,.203,68,88,.773,89,171,260,23,23,37,37,115,358
31,Rolando Blackman,34,NYK,55,1,969,161,369,.436,30,84,.357,48,53,.906,23,70,93,76,25,6,44,100,400
32,Mookie Blaylock,26,ATL,81,81,2915,444,1079,.411,114,341,.334,116,159,.730,117,307,424,789,212,44,196,144,1118
33,Corie Blount,25,CHI,67,8,690,76,174,.437,0,0,,46,75,.613,76,118,194,56,19,33,52,93,198
34,Muggsy Bogues,29,CHH,77,77,2746,354,751,.471,2,12,.167,125,155,.806,78,235,313,780,133,2,171,147,835
35,Manute Bol,31,TOT,14,0,116,4,19,.211,0,3,.000,0,0,,3,15,18,1,2,16,5,13,8
35,Manute Bol,31,MIA,8,0,61,1,12,.083,0,3,.000,0,0,,1,10,11,0,0,6,5,4,2
35,Manute Bol,31,WSB,2,0,6,0,0,,0,0,,0,0,,0,1,1,1,0,1,0,1,0
35,Manute Bol,31,PHI,4,0,49,3,7,.429,0,0,,0,0,,2,4,6,0,2,9,0,8,6
36,Walter Bond,24,UTA,56,4,559,63,156,.404,19,54,.352,31,40,.775,20,41,61,31,16,12,17,90,176
37,Anthony Bonner,25,NYK,73,38,1402,162,288,.563,0,0,,50,105,.476,150,194,344,88,76,13,89,175,374
38,Anthony Bowie,30,ORL,70,0,948,139,289,.481,1,18,.056,41,49,.837,29,91,120,102,32,12,58,81,320
39,Sam Bowie,32,LAL,25,7,556,75,172,.436,1,4,.250,72,83,.867,27,104,131,47,4,28,43,65,223
40,Shawn Bradley,21,PHI,49,45,1385,201,491,.409,0,3,.000,102,168,.607,98,208,306,98,45,147,148,170,504
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
41,Terrell Brandon,23,CLE,73,10,1548,230,548,.420,7,32,.219,139,162,.858,38,121,159,277,84,16,111,108,606
42,Randy Breuer,33,SAC,26,3,247,8,26,.308,0,1,.000,3,14,.214,15,41,56,8,6,19,9,30,19
43,Frank Brickowski,34,TOT,71,46,2094,368,754,.488,4,20,.200,195,254,.768,85,319,404,222,80,27,181,242,935
43,Frank Brickowski,34,MIL,43,40,1441,251,521,.482,3,18,.167,148,191,.775,53,226,279,165,52,16,125,165,653
43,Frank Brickowski,34,CHH,28,6,653,117,233,.502,1,2,.500,47,63,.746,32,93,125,57,28,11,56,77,282
44,Kevin Brooks,24,DEN,34,0,190,36,99,.364,4,23,.174,9,10,.900,5,16,21,3,0,2,12,19,85
45,Scott Brooks,28,HOU,73,0,1225,142,289,.491,23,61,.377,74,85,.871,10,92,102,149,51,2,55,98,381
46,Chucky Brown,25,DAL,1,0,10,1,1,1.000,0,0,,1,1,1.000,0,1,1,0,0,0,0,2,3
47,Dee Brown,25,BOS,77,76,2867,490,1021,.480,30,96,.313,182,219,.831,63,237,300,347,156,47,126,207,1192
48,Mike Brown,30,MIN,82,40,1921,111,260,.427,0,2,.000,77,118,.653,119,328,447,72,51,29,75,218,299
49,P.J. Brown,24,NJN,79,54,1950,167,402,.415,1,6,.167,115,152,.757,188,305,493,93,71,93,72,177,450
50,Randy Brown,25,SAC,61,2,1041,110,251,.438,0,4,.000,53,87,.609,40,72,112,133,63,14,75,132,273
51,Mark Bryant,28,POR,79,10,1441,185,384,.482,0,1,.000,72,104,.692,117,198,315,37,32,29,66,187,442
52,Jud Buechler,25,GSW,36,0,218,42,84,.500,12,29,.414,10,20,.500,13,19,32,16,8,1,12,24,106
53,Matt Bullard,26,HOU,65,0,725,78,226,.345,50,154,.325,20,26,.769,23,61,84,64,14,6,28,67,226
54,Evers Burns,22,SAC,23,0,143,22,55,.400,0,0,,12,23,.522,13,17,30,9,6,3,7,33,56
55,Scott Burrell,23,CHH,51,16,767,98,234,.419,2,6,.333,46,70,.657,46,86,132,62,37,16,45,88,244
56,Willie Burton,25,MIA,53,1,697,124,283,.438,3,15,.200,120,158,.759,50,86,136,39,18,20,54,96,371
57,Mitchell Butler,23,WSB,75,18,1321,207,418,.495,0,5,.000,104,180,.578,106,119,225,77,54,20,87,131,518
58,Michael Cage,32,SEA,82,42,1708,171,314,.545,0,1,.000,36,74,.486,164,280,444,45,77,38,51,179,378
59,Elden Campbell,25,LAL,76,74,2253,373,808,.462,0,2,.000,188,273,.689,167,352,519,86,64,146,98,241,934
60,Tony Campbell,31,TOT,63,14,1214,227,512,.443,7,28,.250,94,120,.783,76,110,186,82,50,15,84,134,555
60,Tony Campbell,31,NYK,22,11,379,63,128,.492,1,3,.333,30,37,.811,28,32,60,31,20,1,29,59,157
60,Tony Campbell,31,DAL,41,3,835,164,384,.427,6,25,.240,64,83,.771,48,78,126,51,30,14,55,75,398
Rk,Player,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
61,Antoine Carr,32,SAS,34,0,465,78,160,.488,0,1,.000,42,58,.724,12,39,51,15,9,22,15,75,198
62,Bill Cartwright,36,CHI,42,41,780,98,191,.513,0,0,,39,57,.684,43,109,152,57,8,8,50,83,235
63,Sam Cassell,24,HOU,66,6,1122,162,388,.418,26,88,.295,90,107,.841,25,109,134,192,59,7,94,136,440
64,Duane Causwell,25,SAC,41,8,674,71,137,.518,0,0,,40,68,.588,68,118,186,11,19,49,33,109,182
65,Cedric Ceballos,24,PHO,53,43,1602,425,795,.535,0,9,.000,160,221,.724,153,191,344,91,59,23,93,124,1010
66,Tom Chambers,34,UTA,80,0,1838,329,748,.440,14,45,.311,221,281,.786,87,239,326,79,40,32,89,232,893
67,Rex Chapman,26,WSB,60,59,2025,431,865,.498,64,165,.388,168,206,.816,57,89,146,185,59,8,117,83,1094
68,Calbert Cheaney,22,WSB,65,21,1604,327,696,.470,1,23,.043,124,161,.770,88,102,190,126,63,10,108,148,779
69,Pete Chilcutt,25,TOT,76,24,1365,203,448,.453,3,15,.200,41,65,.631,129,242,371,86,53,39,74,164,450
69,Pete Chilcutt,25,SAC,46,24,974,152,328,.463,0,1,.000,31,52,.596,100,171,271,71,43,28,56,116,335
69,Pete Chilcutt,25,DET,30,0,391,51,120,.425,3,14,.214,10,13,.769,29,71,100,15,10,11,18,48,115
70,Doug Christie,23,LAL,65,34,1515,244,562,.434,39,119,.328,145,208,.697,93,142,235,136,89,28,140,186,672
